instances,feature_CL,feature_TD_P,feature_LSC,feature_DCP,feature_CLD,feature_N2,feature_TD_U,feature_LSR,feature_Usefulness,feature_kDN,feature_DS,feature_Harmfulness,feature_N1,algo_random_forest
45,5.8403907573501e-06,1.0,0.33333333333333337,0.0,5.840390756406411e-06,0.1345953456061132,1.0,0.42239480700127496,0.5588235294117647,0.0,0.08823529411764708,0.0,0.0,9.992007221626415e-16
46,1.877045336529104e-05,1.0,0.2727272727272727,0.0,1.8770453360350547e-05,0.2005038529934795,1.0,0.2306046776953795,0.6764705882352942,0.0,0.08823529411764708,0.0,0.0,9.992007221626415e-16
47,0.001188756637705346,0.25,0.11764705882352944,0.0,0.001188756380532896,0.17306186374314803,0.25,0.2586352148272957,0.05714285714285716,0.0,0.0,0.0,0.0,0.5336403015321621
48,1.0222088790978745e-06,0.25,0.05882352941176472,0.0,1.0222075444987766e-06,0.14654661769932475,0.25,0.19174239874340837,0.17142857142857137,0.0,0.0,0.0,0.0,9.992007221626415e-16
49,1.1351453986785387e-06,0.25,0.05882352941176472,0.0,1.135144485908679e-06,0.17907444668008055,0.25,0.2644507042253522,0.17142857142857137,0.0,0.0,0.0,0.0,0.07006756261671696
50,1.870356114430649e-08,0.5,0.4411764705882353,0.0,1.8703560755728432e-08,0.19075144508670527,0.5,0.44782251437962206,0.8285714285714285,0.0,0.11764705882352944,0.0,0.0,9.992007221626415e-16
51,0.9328372211687421,1.0,0.9696969696969697,0.0,0.9328372211687422,0.47392596595514724,1.0,0.8450210936878134,0.9117647058823529,0.8,0.9705882352941176,0.6176470588235294,0.0,34.538776394910684
52,2.9450551751741827e-06,1.0,0.3939393939393939,0.0,2.9450551228826782e-06,0.09578282397131632,1.0,0.4367155924271432,0.5882352941176471,0.0,0.08823529411764708,0.0,0.0,9.992007221626415e-16
53,1.0033538444531587e-09,0.5,0.3529411764705882,0.0,1.0033537889420074e-09,0.13433280381254964,0.5,0.4409822401743926,0.8571428571428572,0.0,0.11764705882352944,0.0,0.0,9.992007221626415e-16
54,1.5199620548189685e-05,0.5,0.3529411764705882,0.0,1.5199620548134174e-05,0.08501932257331202,0.5,0.5207762828908205,0.48571428571428577,0.0,0.11764705882352944,0.0,0.0,9.992007221626415e-16
55,2.663498721577895e-08,0.25,0.0,0.0,2.6634986660667437e-08,0.07033876389966376,0.25,0.0,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
56,0.016698167922144624,1.0,0.8181818181818181,0.0,0.016698167922145013,0.32427956276912884,1.0,0.7709409386930159,0.5,0.0,0.08823529411764708,0.029411764705882353,0.0,0.03315220731690051
57,6.418831830168337e-06,0.5,0.6764705882352942,0.0,6.418831829946292e-06,0.22548734361361655,0.5,0.7209643605870021,0.4571428571428572,0.0,0.11764705882352944,0.0,0.0,9.992007221626415e-16
58,0.013918444556539233,1.0,0.7878787878787878,0.0,0.013918444556538956,0.20915032679738566,1.0,0.7789835607607178,0.5294117647058824,0.0,0.08823529411764708,0.0,0.0,9.992007221626415e-16
59,9.005363565961488e-09,0.5,0.5882352941176471,0.0,9.005363232894581e-09,0.25196275333211604,0.5,0.6266970387243735,0.5142857142857142,0.0,0.11764705882352944,0.0,0.0,9.992007221626415e-16
60,7.180097150172315e-08,0.25,0.05882352941176472,0.0,7.180097100212279e-08,0.08316771135911938,0.25,0.20810775122144465,0.02857142857142858,0.0,0.0,0.0,0.0,9.992007221626415e-16
61,1.1876899463914015e-10,0.5,0.5294117647058824,0.0,1.1876905015029138e-10,0.20327102803738317,0.5,0.5123243879868764,0.6571428571428571,0.0,0.11764705882352944,0.0,0.0,9.992007221626415e-16
62,3.652622159178165e-07,0.5,0.5588235294117647,0.0,3.652622156957719e-07,0.25626578589469595,0.5,0.6086689838478839,0.48571428571428577,0.0,0.11764705882352944,0.0,0.0,9.992007221626415e-16
63,3.466864732848407e-06,0.25,0.05882352941176472,0.0,3.4668614374844253e-06,0.11658623317246641,0.25,0.1359006211180125,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
64,2.843769664195861e-09,0.25,0.02941176470588236,0.0,2.843768942550895e-09,0.20424066690830012,0.25,0.08834215716806804,0.2857142857142857,0.0,0.0,0.0,0.0,0.07006756261671696
65,3.7013500930882515e-08,0.25,0.0,0.0,3.701349993168179e-08,0.13159842131228416,0.25,0.0,0.05714285714285716,0.0,0.0,0.0,0.0,0.04445176257083381
66,9.56328954804242e-07,1.0,0.3939393939393939,0.0,9.561330764906728e-07,0.08741040822686186,1.0,0.4121248619893607,0.6176470588235294,0.0,0.08823529411764708,0.0,0.0,9.992007221626415e-16
67,3.297095929610805e-11,0.25,0.0,0.0,3.2970737251503124e-11,0.17071122680325812,0.25,0.0,0.08571428571428574,0.0,0.0,0.0,0.0,9.992007221626415e-16
